   1.0000000000000000e-03	   1.0023533268721760e+03	   4.6400381652092717e+00	   6.6548245969837927e-01	   1.5984438793501685e+00	   4.1839783423928383e+00	
   1.0139254075588154e-03	   9.8861641337253172e+02	   4.6326825193147423e+00	   6.6365927219289644e-01	   1.5984009269578114e+00	   4.1766669169868198e+00	
   1.0280447320933097e-03	   9.7506812693227744e+02	   4.6253271186068705e+00	   6.6183632865955766e-01	   1.5983574414903916e+00	   4.1693562491674676e+00	
   1.0423606739764012e-03	   9.6170587692217578e+02	   4.6179719660353671e+00	   6.6001363187600592e-01	   1.5983134170255975e+00	   4.1620463475895146e+00	
   1.0568759711848039e-03	   9.4852710828967543e+02	   4.6106170645843916e+00	   6.5819118465044935e-01	   1.5982688475881839e+00	   4.1547372210011746e+00	
   1.0715933998226711e-03	   9.3552930107539817e+02	   4.6032624172731493e+00	   6.5636898982123337e-01	   1.5982237271520008e+00	   4.1474288782464406e+00	
   1.0865157746525384e-03	   9.2270996992996538e+02	   4.5959080271561898e+00	   6.5454705025737459e-01	   1.5981780496383216e+00	   4.1401213282654821e+00	
   1.1016459496336569e-03	   9.1006666363861495e+02	   4.5885538973238917e+00	   6.5272536885919186e-01	   1.5981318089163794e+00	   4.1328145800954417e+00	
   1.1169868184678225e-03	   8.9759696464869342e+02	   4.5812000309028171e+00	   6.5090394855804778e-01	   1.5980849988032457e+00	   4.1255086428720142e+00	
   1.1325413151528115e-03	   8.8529848861462563e+02	   4.5738464310560474e+00	   6.4908279231715249e-01	   1.5980376130628771e+00	   4.1182035258297844e+00	
   1.1483124145435111e-03	   8.7316888393698810e+02	   4.5664931009838554e+00	   6.4726190313130882e-01	   1.5979896454074085e+00	   4.1108992383041008e+00	
   1.1643031329208768e-03	   8.6120583131099750e+02	   4.5591400439237431e+00	   6.4544128402816703e-01	   1.5979410894947479e+00	   4.1035957897306190e+00	
   1.1805165285688054e-03	   8.4940704328796596e+02	   4.5517872631512288e+00	   6.4362093806742882e-01	   1.5978919389307351e+00	   4.0962931896481152e+00	
   1.1969557023590429e-03	   8.3777026383563748e+02	   4.5444347619799101e+00	   6.4180086834207828e-01	   1.5978421872667119e+00	   4.0889914476978584e+00	
   1.2136237983442406e-03	   8.2629326790448499e+02	   4.5370825437622413e+00	   6.3998107797800841e-01	   1.5977918280011187e+00	   4.0816905736259326e+00	
   1.2305240043592616e-03	   8.1497386100626738e+02	   4.5297306118897058e+00	   6.3816157013490804e-01	   1.5977408545784089e+00	   4.0743905772834559e+00	
   1.2476595526308698e-03	   8.0380987879048257e+02	   4.5223789697934986e+00	   6.3634234800639777e-01	   1.5976892603892081e+00	   4.0670914686278952e+00	
   1.2650337203959038e-03	   7.9279918663325543e+02	   4.5150276209447950e+00	   6.3452341482003516e-01	   1.5976370387701153e+00	   4.0597932577244897e+00	
   1.2826498305280598e-03	   7.8193967922905881e+02	   4.5076765688550697e+00	   6.3270477383820656e-01	   1.5975841830025741e+00	   4.0524959547464618e+00	
   1.3005112521734085e-03	   7.7122928018368157e+02	   4.5003258170770035e+00	   6.3088642835822106e-01	   1.5975306863144236e+00	   4.0451995699768837e+00	
   1.3186214013947485e-03	   7.6066594162430169e+02	   4.4929753692044025e+00	   6.2906838171234325e-01	   1.5974765418780001e+00	   4.0379041138095015e+00	
   1.3369837418249467e-03	   7.5024764380010060e+02	   4.4856252288731007e+00	   6.2725063726869124e-01	   1.5974217428113417e+00	   4.0306095967497537e+00	
   1.3556017853293689e-03	   7.3997239470393538e+02	   4.4782753997611682e+00	   6.2543319843131684e-01	   1.5973662821768999e+00	   4.0233160294158186e+00	
   1.3744790926775367e-03	   7.2983822968317463e+02	   4.4709258855894696e+00	   6.2361606864020680e-01	   1.5973101529821156e+00	   4.0160234225402469e+00	
   1.3936192742241421e-03	   7.1984321107170877e+02	   4.4635766901221690e+00	   6.2179925137242531e-01	   1.5972533481788240e+00	   4.0087317869702312e+00	
   1.4130259905995337e-03	   7.0998542781229389e+02	   4.4562278171671030e+00	   6.1998275014176418e-01	   1.5971958606629590e+00	   4.0014411336694096e+00	
   1.4327029534098308e-03	   7.0026299509795194e+02	   4.4488792705764952e+00	   6.1816656849958462e-01	   1.5971376832751365e+00	   3.9941514737186892e+00	
   1.4526539259467812e-03	   6.9067405400428447e+02	   4.4415310542471360e+00	   6.1635071003456721e-01	   1.5970788087992813e+00	   3.9868628183177526e+00	
   1.4728827239075034e-03	   6.8121677114140414e+02	   4.4341831721211049e+00	   6.1453517837388938e-01	   1.5970192299633716e+00	   3.9795751787856051e+00	
   1.4933932161242517e-03	   6.7188933829562757e+02	   4.4268356281862280e+00	   6.1271997718291837e-01	   1.5969589394387136e+00	   3.9722885665623298e+00	
   1.5141893253043520e-03	   6.6268997209191070e+02	   4.4194884264766419e+00	   6.1090511016589333e-01	   1.5968979298405912e+00	   3.9650029932101196e+00	
   1.5352750287804227e-03	   6.5361691364409626e+02	   4.4121415710730654e+00	   6.0909058106623370e-01	   1.5968361937265472e+00	   3.9577184704141932e+00	
   1.5566543592710621e-03	   6.4466842822649733e+02	   4.4047950661037021e+00	   6.0727639366696551e-01	   1.5967737235979014e+00	   3.9504350099843464e+00	
   1.5783314056521181e-03	   6.3584280493521965e+02	   4.3974489157443992e+00	   6.0546255179091779e-01	   1.5967105118983174e+00	   3.9431526238560157e+00	
   1.6003103137387001e-03	   6.2713835636765191e+02	   4.3901031242193502e+00	   6.0364905930132362e-01	   1.5966465510139218e+00	   3.9358713240914147e+00	
