0.001	-1.2500000023599638e8
0.002	-1.5625000470486255e7
0.003	-4.62963033310714e6
0.004	-1.9531259349780015e6
0.005	-1.0000011649955632e6
0.006	-578705.0972417016
0.007	-364433.10749354895
0.008	-244142.4712285663
0.009	-171469.83445252862
0.01	-125002.29311159464
0.011	-93916.86450719967
0.012	-72340.69721149936
0.013	-56898.71963624884
0.014	-45557.10556046912
0.015	-37040.42235043461
0.016	-30521.177652803024
0.017	-25446.515383902704
0.018	-21437.494298408837
0.019	-18228.46479190387
0.02	-15629.442549312103
0.021	-13502.112359903573
0.022	-11744.149626517974
0.023	-10278.75162714948
0.024	-9047.509159441994
0.025	-8005.465750735494
0.026	-7117.63725702038
0.027	-6356.523635220457
0.028	-5700.305698668684
0.029	-5131.521810471562
0.03	-4636.085461780655
0.031	-4202.548043346288
0.032	-3821.540058369938
0.033	-3485.3436209348206
0.034	-3187.5625337314755
0.035	-2922.865586208762
0.036	-2686.7852875265503
0.037	-2475.558922246799
0.038	-2286.0021741033956
0.039	-2115.407998652575
0.04	-1961.4652085521013
0.041	-1822.1925518132173
0.042	-1695.8850435807226
0.043	-1581.0700474454668
0.044	-1476.4711581689153
0.045	-1380.9783607912607
0.046	-1293.6232652667295
0.047	-1213.5584657254433
0.048	-1140.0402673572257
0.049	-1072.4141751900647
0.05	-1010.1026577130195
0.051	-952.5947918864913
0.052	-899.437470266353
0.053	-850.2279100521612
0.054	-804.6072511452809
0.055	-762.2550682987385
0.056	-722.8846531089787
0.057	-686.2389464555278
0.058	-652.0870222191704
0.059	-620.2210396282903
0.06	-590.4535951249692
0.061	-562.6154157831849
0.062	-536.5533455080279
0.063	-512.1285828616451
0.064	-489.2151356900548
0.065	-467.69846299923995
0.066	-447.4742789376323
0.067	-428.4474974380318
0.068	-410.53129917894336
0.069	-393.6463051442759
0.07	-377.71984327370205
0.071	-362.68529657134525
0.072	-348.4815226333275
0.073	-335.05233591092855
0.074	-322.3460451834626
0.075	-310.3150397047851
0.076	-298.9154183362716
0.077	-288.10665670738155
0.078	-277.85130807303153
0.079	-268.114734077839
0.08	-258.86486210515807
0.081	-250.07196629383392
0.082	-241.70846965694398
0.083	-233.74876504217826
0.084	-226.169052939331
0.085	-218.94719437226664
0.086	-212.06257731525494
0.087	-205.49599525081194
0.088	-199.2295366415312
0.089	-193.2464842247418
0.09	-187.53122315870723
0.091	-182.06915715463813
0.092	-176.846631821846
0.093	-171.85086453557105
0.094	-167.06988020964735
0.095	-162.4924524205418
0.096	-158.10804938634607
0.097	-153.90678435492373
0.098	-149.8793700004646
0.099	-146.01707646775327
0.1	-142.31169273914722
0.101	-138.7554910311589
0.102	-135.34119395593729
0.103	-132.06194420843823
0.104	-128.91127656281432
0.105	-125.88309198199988
0.106	-122.97163366276573
0.107	-120.17146485498343
0.108	-117.47744830862186
0.109	-114.88472721532102
0.11	-112.38870752337725
0.111	-109.98504151578668
0.112	-107.66961255077533
0.113	-105.43852087303753
0.114	-103.28807041190927
0.115	-101.2147564899121
0.116	-99.21525437164813
0.117	-97.28640858895318
0.118	-95.42522298361783
0.119	-93.62885141385661
0.12	-91.89458907516503
0.121	-90.21986439024403
0.122	-88.60223142635999
0.123	-87.03936280186414
0.124	-85.52904304664524
0.125	-84.06916238411712
0.126	-82.65771090484435
0.127	-81.29277310429457
0.128	-79.97252275930427
0.129	-78.6952181198135
0.13	-77.45919739421356
0.131	-76.262874508289
0.132	-75.10473511924175
0.133	-73.98333286766672
0.134	-72.89728585162143
0.135	-71.84527330808484
0.136	-70.82603248818721
0.137	-69.83835571358154
0.138	-68.88108760221465
0.139	-67.95312245262122
0.14	-67.0534017766195
0.141	-66.18091197099866
0.142	-65.33468211946143
0.143	-64.51378191666942
0.144	-63.71731970682322
0.145	-62.94444062971395
0.146	-62.194324867659006
0.147	-61.46618598720754
0.148	-60.75926936986662
0.149	-60.072850726528905
0.15	-59.406234690598204
0.151	-58.75875348516432
0.152	-58.12976565986564
0.153	-57.518654893363774
0.154	-56.924828857635234
0.155	-56.34771814049483
0.156	-55.78677522302745
0.157	-55.2414735087956
0.158	-54.71130640188943
0.159	-54.1957864310786
0.16	-53.694444417481684
0.161	-53.20682868334388
0.162	-52.7325042996429
0.163	-52.27105237040407
0.164	-51.82206935171479
0.165	-51.385166403555345
0.166	-50.95996877268696
0.167	-50.54611520492598
0.168	-50.14325738523943
0.169	-49.751059404192034
0.17	-49.36919724935933
0.171	-48.99735832039177
0.172	-48.635240966512065
0.173	-48.28255404527748
0.174	-47.939016501513365
0.175	-47.604356965387616
0.176	-47.27831336865937
0.177	-46.96063257817019
0.178	-46.65107004572283
0.179	-46.349389473519864
0.18	-46.05536249439615
0.181	-45.76876836610585
0.182	-45.48939367897655
0.183	-45.21703207628013
0.184	-44.95148398669613
0.185	-44.6925563682819
0.186	-44.44006246340253
0.187	-44.19382156409098
0.188	-43.953658787343215
0.189	-43.71940485987129
0.19	-43.490895911886106
0.191	-43.26797327946318
0.192	-43.05048331511285
0.193	-42.83827720615723
0.194	-42.6312108005656
0.195	-42.42914443989961
0.196	-42.23194279904723
0.197	-42.03947473242816
0.198	-41.85161312639433
0.199	-41.66823475753037
0.2	-41.48922015659725
0.201	-41.31445347786892
0.202	-41.14382237361971
0.203	-40.977217873535494
0.204	-40.81453426883858
0.205	-40.6556690009052
0.206	-40.500522554201844
0.207	-40.348998353333194
0.208	-40.20100266403796
0.209	-40.056444497958395
0.21	-39.91523552102043
0.211	-39.77728996527923
0.212	-39.642524544071364
0.213	-39.5108583703463
