0.001	-2.5000003395100626e8
0.002	-3.1250033794554308e7
0.003	-9.259292898332927e6
0.004	-3.9062834856203725e6
0.005	-2.0000333341366567e6
0.006	-1.1574405920000072e6
0.007	-728896.0107411247
0.008	-488314.1412839902
0.009	-342968.2756076568
0.01	-250032.60557475986
0.011	-187861.16575779006
0.012	-144708.2532702461
0.013	-113823.72490563981
0.014	-91139.92819195741
0.015	-74105.99783159992
0.016	-61066.94908815168
0.017	-50917.069764443586
0.018	-42898.47734026986
0.019	-36479.87257733472
0.02	-31281.28681608808
0.021	-27026.089605867914
0.022	-23509.631723264156
0.023	-20578.3076952662
0.024	-18115.299088327378
0.025	-16030.692928412527
0.026	-14254.520898891958
0.027	-12731.78288515141
0.028	-11418.840485517105
0.029	-10280.77039797459
0.03	-9289.399576739443
0.031	-8421.830775348231
0.032	-7659.324972356317
0.033	-6986.446368217312
0.034	-6390.402540723471
0.035	-5860.531041302651
0.036	-5387.896860936238
0.037	-4964.974541533927
0.038	-4585.395423469684
0.039	-4243.745390891459
0.04	-3935.402042274299
0.041	-3656.4028469214654
0.042	-3403.3378085309964
0.043	-3173.2616278168684
0.044	-2963.621467955956
0.045	-2772.197272809016
0.046	-2597.0522361884105
0.047	-2436.491520380115
0.048	-2289.027709915418
0.049	-2153.351789123105
0.05	-2028.308669378914
0.051	-1912.8764791241704
0.052	-1806.1489781128444
0.053	-1707.3205755102624
0.054	-1615.6735260078428
0.055	-1530.5669541217817
0.056	-1451.427418178351
0.057	-1377.7407751919861
0.058	-1309.0451483007712
0.059	-1244.924831460513
0.06	-1185.0049931759056
0.061	-1128.9470633361766
0.062	-1076.4447056146098
0.063	-1027.2202931195513
0.064	-981.0218176473857
0.065	-937.6201734355698
0.066	-896.8067651268414
0.067	-858.3913970524707
0.068	-822.2004071555988
0.069	-788.0750141099633
0.07	-755.8698506200849
0.071	-725.4516596391528
0.072	-696.6981334235282
0.073	-669.4968780585624
0.074	-643.7444884047085
0.075	-619.3457203865307
0.076	-596.2127492723216
0.077	-574.2645039743019
0.078	-553.4260687769704
0.079	-533.6281448616511
0.08	-514.8065650048475
0.081	-496.90185561093597
0.082	-479.85884094991053
0.083	-463.62628507766937
0.084	-448.15656745061125
0.085	-433.40538870966753
0.086	-419.33150351253266
0.087	-405.8964776489688
0.088	-393.0644669845143
0.089	-380.8020160493837
0.09	-369.07787433049265
0.091	-357.8628285354769
0.092	-347.129549282624
0.093	-336.85245083612955
0.094	-327.00756265141143
0.095	-317.57241162279973
0.096	-308.52591404114236
0.097	-299.84827637004696
0.098	-291.52090403859944
0.099	-283.52631752953977
0.1	-275.8480751131272
0.101	-268.4707016399233
0.102	-261.37962286340434
0.103	-254.56110481417105
0.104	-248.00219779235866
0.105	-241.6906845864587
0.106	-235.6150325632708
0.107	-229.7643493060691
0.108	-224.12834150824528
0.109	-218.69727685627697
0.11	-213.46194865934103
0.111	-208.41364300504887
0.112	-203.5441082403252
0.113	-198.84552659344345
0.114	-194.31048777018935
0.115	-189.93196437058853
0.116	-185.7032889863333
0.117	-181.6181328508868
0.118	-177.67048592454879
0.119	-173.85463830704714
0.12	-170.16516287901717
0.121	-166.5968990814914
0.122	-163.14493775026222
0.123	-159.80460692866896
0.124	-156.57145858815576
0.125	-153.44125619187153
0.126	-150.4099630416772
0.127	-147.47373135327842
0.128	-144.6288920088047
0.129	-141.87194494000403
0.13	-139.199550098576
0.131	-136.60851897369656
0.132	-134.09580661978438
0.133	-131.65850416009064
0.134	-129.29383173446624
0.135	-126.99913186200041
0.136	-124.77186319111117
0.137	-122.6095946119168
0.138	-120.50999970748995
0.139	-118.47085152207052
0.14	-116.49001762608918
0.141	-114.56545545925135
0.142	-112.69520793401053
0.143	-110.87739928335907
0.144	-109.11023113761863
0.145	-107.39197881616508
0.146	-105.72098782099593
0.147	-104.09567051975594
0.148	-102.51450300682157
0.149	-100.9760221318334
0.15	-99.4788226855748
0.151	-98.02155473393947
0.152	-96.60292109133141
0.153	-95.22167492524588
0.154	-93.87661748445953
0.155	-92.56659594375546
0.156	-91.29050135840572
0.157	-90.04726672220309
0.158	-88.83586512323186
0.159	-87.6553079917798
0.16	-86.50464343530582
0.161	-85.3829546556445
0.162	-84.28935844384796
0.163	-83.22300374841805
0.164	-82.18307031300236
0.165	-81.1687673796614
0.166	-80.17933245427565
0.167	-79.21403013072495
0.168	-78.27215097070757
0.169	-77.35301043624872
0.17	-76.45594787216524
0.171	-75.58032553581458
0.172	-74.72552767170554
0.173	-73.89095962865962
0.174	-73.07604701728329
0.175	-72.28023490575889
0.176	-71.50298705195345
0.177	-70.74378517001446
0.178	-70.00212822976384
0.179	-69.27753178719199
0.18	-68.5695273445277
0.181	-67.877661738451
0.182	-67.20149655501754
0.183	-66.5406075700021
0.184	-65.894584213462
0.185	-65.2630290572948
0.186	-64.6455573247005
0.187	-64.0417964205363
0.188	-63.45138548151665
0.189	-62.87397494533729
0.19	-62.30922613785691
0.191	-61.75681087745024
0.192	-61.216411095753855
0.193	-60.68771847404862
0.194	-60.170434094542735
0.195	-59.664268105874356
0.196	-59.168939402198454
0.197	-58.684175315220386
0.198	-58.20971131859835
0.199	-57.745290744171456
0.2	-57.290664509458836
0.201	-56.845590855950846
0.202	-56.40983509769853
0.203	-55.98316937975363
0.204	-55.565372446027396
0.205	-55.15622941615365
0.206	-54.75553157096528
0.207	-54.36307614621829
0.208	-53.97866613419261
0.209	-53.60211009284548
0.21	-53.23322196220141
0.211	-52.87182088764144
0.212	-52.51773104983923
0.213	-52.17078150104271
